State|Location|Address|City|Facility|Hours
Alabama|Walmart|2473 Hackworth Rd|Adamsville|Drive-thru|"Mon, Wed, Fri 7 a.m. - 9 a.m."
Alabama|Brookwood Baptist|1000 1st Street N|Alabaster|Clinic|
Alabama|Main Street Family Care|2508 US Hwy 280|Alexander City|Clinic|"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm"
Alabama|Main Street Family Care|508 E. Three Notch Street|Andalusia|Drive-thru|"Mon - Fri: 8am to 8pm, Sat-Sun: 9am to 4pm"
Alabama|Northeast Alabama Regional Medical Center|230 E 10th Street|Anniston|Drive-thru|M-F 8:30-4:30
Alabama|Southern Immediate Care|4100 McClellan Boulevard|Anniston|Drive-thru|
Alabama|Main Street Family Care|1420 N. Brindlee Mountain Pkwy. Suite A-1|Arab|Clinic|"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm"
Alabama|Waddell Family Medicine|902 West Washington St|Athens|Drive-thru|M-F 8-4
Alabama|Southern Immediate Care|956 Gilberts Ferry Road|Attalla|Drive-thru|M-F 8-5
Alabama|Stopwatch Urgent Care|"2415 Moore's Mill Rd, #230"|Auburn|Clinic|
Alabama|Health Plus Fitness Center|1171 Gatewood Dr #101|Auburn|Drive-thru|"M-F 9-6, S-S 9-1"
Alabama|North Baldwin Infirmary|2115 Hand Avenue|Bay Minette|Drive-thru|
Alabama|Bessemer Quick Care Clinic|727 Memorial Drive|Bessemer|Drive-thru|
Alabama|Trust Care|1337 Montclair Road|Birmingham|Clinic|
Alabama|Norwood Clinic|"2022 Brookwood Medical Center Dr. ACC, Suite 510"|Birmingham|Clinic|
Alabama|Norwood Clinic|"833 St. Vincent's Drive; POB III, Suite 201"|Birmingham|Clinic|
Alabama|Brookwood Baptist|701 Princeton Ave SW|Birmingham|Clinic|
Alabama|Brookwood Baptist|2010 Brookwood Medical Center Drive|Birmingham|Clinic|
Alabama|Southview Medical Group|833 St. Vincent's Drive - POB III|Birmingham|Clinic|
Alabama|American Family Care|"3000 Cahaba Village Plaza, Suite 110"|Birmingham|Clinic|8am - 6pm
Alabama|Southview Medical Group|7191 Cahaba Valley Rd|Birmingham|Clinic|
Alabama|Cahaba Medical Care|1308 Tuscaloosa Avenue|Birmingham|Drive-thru|
Alabama|UAB Medicine|University Blvd & 22nd Street S|Birmingham|Drive-thru|9-1:30
Alabama|Acton Quick Care Clinic|2868 Acton Road|Birmingham|Drive-thru|
Alabama|Sparks & Favor|4700 Highlands Way|Birmingham|Drive-thru|
Alabama|Church of the Highlands Grandview|4700 Highlands Way|Birmingham|Drive-thru|
Alabama|Walgreens|4501 Valleydale Road|Birmingham|Drive-thru|9am-5pm
Alabama|Trust Care|"1645 W. Government St., Suite F"|Brandon|Clinic|
Alabama|Main Street Family Care|2134 Douglas Ave.|Brewton|Clinic|"Mon - Fri: 8am to 8pm, Sat-Sun: 9am to 4pm"
Alabama|Northeast Alabama Health Services|29810 Alabama Hwy 71|Bryant|Drive-thru|M-F 1pm - 4pm
Alabama|Main Street Family Care|"1925 West Main Street, Suite 102"|Centre|Clinic|"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm"
Alabama|Cahaba Medical Care|195 Hospital Drive|Centreville|Clinic|
Alabama|Citronelle Health Center|19240 N. Mobile St|Citronelle|Drive-thru|
Alabama|Chilton County Health Department|301 Health Center Drive|Clanton|Drive-thru|Wednesdays 10-12
Alabama|Trust Care|"601 Highway 80 Clinton, MS"|Clinton|Clinic|
Alabama|Cullman Regional Screening Site|1958 Alabama Highway 157|Cullman|Drive-thru|M-F 10-2
Alabama|American Family Care|1841 Cherokee Ave SW|Cullman|Clinic|
Alabama|Clears Clinic|"28720 U.S. Hwy. 98,Suite 1"|Daphne|Drive-thru|
Alabama|Urgent Team|1115 Beltline Rd SE Suite 400|Decatur|Clinic|
Alabama|Walmart|1701 US-43|Demopolis|Drive-thru|Tues 10 a.m. - 3 p.m.
Alabama|Whitfield Regional Hospital parking lot|105 U.S. Highway 80 East|Demopolis|Drive-thru|MWF 9-1
Alabama|Capstone Clinic|110 Legion Rd Ste B|Double Springs|Clinic|Mon – Fri: 8AM - 5PM and closed for lunch Daily 12:30 - 1:30
Alabama|Enterprise Civic Center|2401 Neil Metcalf Road|Enterprise|Drive-thru|
Alabama|Main Street Family Care|1026 South Eufaula Ave.|Eufaula|Clinic|"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm"
Alabama|Evergreen Family Medical Center|316 S. Main Street|Evergreen|Drive-thru|Only on Fridays
Alabama|Semmes Health Center|3810 Wulff Road East|Fire Tower|Drive-thru|
Alabama|Urgent Team|202 Cox Creek Pkwy|Florence|Clinic|
Alabama|Trust Care|1710 Old Fannin Road|Flowood|Clinic|
Alabama|Northeast Alabama Health Services|3840 Gault Avenue North|Fort Payne|Drive-thru|M-F 1pm - 4pm
Alabama|DeKalb Regional Medical Center|421 Medical Center Drive SW|Fort Payne|Drive-thru|M-F 9-3:30
Alabama|Norwood Clinic|"339 Walker Chapel Plaza, Suite 115"|Fultondale|Clinic|
Alabama|Norwood Clinic|339 Walker's Chapel Plaza|Fultondale|Clinic|
Alabama|Norwood Clinic|1604 Stouts Road|Fultondale|Clinic|
Alabama|Norwood Clinic|"313 Fieldstown Road, Suite 103"|Gardendale|Clinic|
Alabama|Norwood Clinic|"527 Fieldstown Road, Suite C"|Gardendale|Clinic|
Alabama|Gilbertown Medical and Dental Center|140 Front Street Suite 4|Gilbertown|Drive-thru|Only on Fridays
Alabama|Hale County Hospital|508 Greene Street|Greensboro|Drive-thru|M-F 8-5
Alabama|Norwood Clinic|6150 US Highway 43|Guin|Clinic|
Alabama|Stopwatch Urgent Care|351 US 31|Hartselle|Clinic|
Alabama|Trust Care|6176 US Highway 98|Hattiesburg|Clinic|
Alabama|Southern Immediate Care|150 Tompkins St|Heflin|Clinic|
Alabama|Brookwood Baptist|7131 Cahaba Valley Rd.|Hoover|Clinic|
Alabama|Ross Bridge Medical Center|3635 Market Street|Hoover|Drive-thru|M-F 8-5
Alabama|Stopwatch Urgent Care|3029 Allison Bonnett Memorial Drive|Hueytown|Clinic|
Alabama|John Hunt Park|2151 Airport Rd SW|Huntsville|Drive-thru|
Alabama|Urgent Team|900 Bob Wallace Ave Suite 104|Huntsville|Clinic|
Alabama|Mostellar Medical Center|12701 Padget Switch Rd|Irvington|Drive-thru|
Alabama|Trust Care|4880 I-55 Frontage Road North|Jackson|Clinic|
Alabama|Walker County Health Department|705 20th Avenue East|Jasper|Drive-thru|Thursdays 10-12
Alabama|Brookwood Baptist|3400 Hwy 78 E|Jasper|Clinic|
Alabama|Stopwatch Urgent Care|3838 Highway 80 West|Ladonia|Clinic|
Alabama|Urgent Team|300 Hughes Rd Suite G-2|Madison|Clinic|
Alabama|Madison Core Laboratories|"120 W. Dublin Dr, Ste. 105"|Madison|Clinic|
Alabama|Respiratory Virus Evaluation Clinic|1303 Washington Street|Marion|Clinic|
Alabama|Urgent Medcare|12287 US-231/431|Meridianville|Drive-thru|
Alabama|Main Street Family Care|1401 AL Hwy 14|Millbrook|Clinic|"Mon - Fri: 8am to 8pm, Sat-Sun: 9am to 4pm"
Alabama|Main Street Family Care|6280 Grelot Road|Mobile|Clinic|"Mon-Fri 12pm-10pm, Sat - Sun 9am-9pm"
Alabama|Keeler Memorial Building|251 N Bayou St|Mobile|Drive-thru|
Alabama|USA Health|401 Civic Center Dr|Mobile|Drive-thru|
Alabama|Dauphin island Parkway Health Center|2601 Dauphin Island Pkway|Mobile|Drive-thru|
Alabama|Eight Mile Health center|4009 St. Stephens Rd|Mobile|Drive-thru|
Alabama|Compass Urgent Care|6901 Airport Blvd|Mobile|Drive-thru|
Alabama|Southwest Mobile Health Center|5580 Inn Road|Mobile|Drive-thru|
Alabama|Women's Health Center / Newburn Complex|248 Cox St|Mobile|Drive-thru|
Alabama|Ladd-Peebles Stadium|1621 Virginia St|Mobile|Drive-thru|2-Aug
Alabama|Infirmary Health|166 Mobile Infirmary Blvd|Mobile|Drive-thru|2-Oct
Alabama|Franklin Medical Mall|1303 Martin Luther King Jr. Ave|Mobile|Drive-thru|
Alabama|Greater Mobile Urgent Care|2350 Schillinger Road|Mobile|Drive-thru|
Alabama|Diagnostic and Medical Clinic|1700 Springhill Ave|Mobile|Drive-thru|5-Aug
