State |Location |Address |City |Phone Number
Alabama |Walmart |2473 Hackworth Rd |Adamsville |N/A
Alabama |Brookwood Baptist |1000 1st Street N |Alabaster |(205) 620-8100
Alabama |Main Street Family Care |2508 US Hwy 280 |Alexander City |256-414-3013
Alabama |Main Street Family Care |508 E. Three Notch Street |Andalusia |(334) 362-2015
Alabama |Northeast Alabama Regional Medical Center |230 E 10th Street |Anniston |256-235-5600
Alabama |Southern Immediate Care |4100 McClellan Boulevard |Anniston |256-568-8818
Alabama |Main Street Family Care |1420 N. Brindlee Mountain Pkwy. Suite A-1 |Arab |(256) 677-4553
Alabama |Waddell Family Medicine |902 West Washington St |Athens |N/A
Alabama |Southern Immediate Care |956 Gilberts Ferry Road |Attalla |256-568-8818
Alabama |Stopwatch Urgent Care |"2415 Moore's Mill Rd, #230" |Auburn |334-502-1117
Alabama |Health Plus Fitness Center |1171 Gatewood Dr #101 |Auburn |334-528-SICK
Alabama |North Baldwin Infirmary |2115 Hand Avenue |Bay Minette |251-341-2819
Alabama |Bessemer Quick Care Clinic |727 Memorial Drive |Bessemer |205.273.9424
Alabama |Trust Care |1337 Montclair Road |Birmingham |(205) 203-8226
Alabama |Norwood Clinic |"2022 Brookwood Medical Center Dr. ACC, Suite 510" |Birmingham |(205) 250-6000
Alabama |Norwood Clinic |"833 St. Vincent's Drive; POB III, Suite 201" |Birmingham |(205) 250-8946
Alabama |Brookwood Baptist |701 Princeton Ave SW |Birmingham |(205) 783-3000
Alabama |Brookwood Baptist |2010 Brookwood Medical Center Drive |Birmingham |(205) 877-1000
Alabama |Southview Medical Group |833 St. Vincent's Drive - POB III |Birmingham |(205) 933-4640
Alabama |American Family Care |"3000 Cahaba Village Plaza, Suite 110" |Birmingham |205-293-1205
Alabama |Southview Medical Group |7191 Cahaba Valley Rd |Birmingham |205-408-6600
Alabama |Cahaba Medical Care |1308 Tuscaloosa Avenue |Birmingham |205-679-6325
Alabama |UAB Medicine |University Blvd & 22nd Street S |Birmingham |205-975-1881
Alabama |Acton Quick Care Clinic |2868 Acton Road |Birmingham |205.273.9424
Alabama |Sparks & Favor |4700 Highlands Way |Birmingham |205.397.1286
Alabama |Church of the Highlands Grandview |4700 Highlands Way |Birmingham |N/A
Alabama |Walgreens |4501 Valleydale Road |Birmingham |N/A
Alabama |Trust Care |"1645 W. Government St., Suite F" |Brandon |(601) 829-6600
Alabama |Main Street Family Care |2134 Douglas Ave. |Brewton |(251) 236-4026
Alabama |Northeast Alabama Health Services |29810 Alabama Hwy 71 |Bryant |256-597-4114
Alabama |Main Street Family Care |"1925 West Main Street, Suite 102" |Centre |(256) 677-4552
Alabama |Cahaba Medical Care |195 Hospital Drive |Centreville |205-926-2992
Alabama |Citronelle Health Center |19240 N. Mobile St |Citronelle |(251) 866-9126
Alabama |Chilton County Health Department |301 Health Center Drive |Clanton |(205) 755-1287
Alabama |Trust Care |"601 Highway 80 Clinton, MS" |Clinton |(601) 708-1480
Alabama |Cullman Regional Screening Site |1958 Alabama Highway 157 |Cullman |256-735-5530
Alabama |American Family Care |1841 Cherokee Ave SW |Cullman |256-743-5026
Alabama |Clears Clinic |"28720 U.S. Hwy. 98,Suite 1" |Daphne |251-263-3229
Alabama |Urgent Team |1115 Beltline Rd SE Suite 400 |Decatur |(256) 898-3004
Alabama |Walmart |1701 US-43 |Demopolis |N/A
Alabama |Whitfield Regional Hospital parking lot |105 U.S. Highway 80 East |Demopolis |N/A
Alabama |Capstone Clinic |110 Legion Rd Ste B |Double Springs |(205) 874-4858
Alabama |Enterprise Civic Center |2401 Neil Metcalf Road |Enterprise |N/A
Alabama |Main Street Family Care |1026 South Eufaula Ave. |Eufaula |(334) 689-4025
Alabama |Evergreen Family Medical Center |316 S. Main Street |Evergreen |251-444-1122
Alabama |Semmes Health Center |3810 Wulff Road East |Fire Tower |(251) 445-0582
Alabama |Urgent Team |202 Cox Creek Pkwy |Florence |(256) 349-5496
Alabama |Trust Care |1710 Old Fannin Road |Flowood |(601) 487-9191
Alabama |Northeast Alabama Health Services |3840 Gault Avenue North |Fort Payne |256-844-4975
Alabama |DeKalb Regional Medical Center |421 Medical Center Drive SW |Fort Payne |256-997-2708
Alabama |Norwood Clinic |"339 Walker Chapel Plaza, Suite 115" |Fultondale |(205) 250-6424
Alabama |Norwood Clinic |339 Walker's Chapel Plaza |Fultondale |(205) 380-7878
Alabama |Norwood Clinic |1604 Stouts Road |Fultondale |(205) 849-9811
Alabama |Norwood Clinic |"313 Fieldstown Road, Suite 103" |Gardendale |(205) 631-0055
Alabama |Norwood Clinic |"527 Fieldstown Road, Suite C" |Gardendale |(205) 631-5671
Alabama |Gilbertown Medical and Dental Center |140 Front Street Suite 4 |Gilbertown |251-444-1122
Alabama |Hale County Hospital |508 Greene Street |Greensboro |334-507-3815
Alabama |Norwood Clinic |6150 US Highway 43 |Guin |(205) 468-2754
Alabama |Stopwatch Urgent Care |351 US 31 |Hartselle |256.286.0827
Alabama |Trust Care |6176 US Highway 98 |Hattiesburg |(601) 475-0444
Alabama |Southern Immediate Care |150 Tompkins St |Heflin |256-568-8818
Alabama |Brookwood Baptist |7131 Cahaba Valley Rd. |Hoover |(205) 725-6800
Alabama |Ross Bridge Medical Center |3635 Market Street |Hoover |205-92COVID
Alabama |Stopwatch Urgent Care |3029 Allison Bonnett Memorial Drive |Hueytown |205.436.8270
Alabama |John Hunt Park |2151 Airport Rd SW |Huntsville |(256) 265-1000
Alabama |Urgent Team |900 Bob Wallace Ave Suite 104 |Huntsville |(256) 539-0781
Alabama |Mostellar Medical Center |12701 Padget Switch Rd |Irvington |(251) 824-2174
Alabama |Trust Care |4880 I-55 Frontage Road North |Jackson |(601) 487-9199
Alabama |Walker County Health Department |705 20th Avenue East |Jasper |(205) 221-9775
Alabama |Brookwood Baptist |3400 Hwy 78 E |Jasper |(205) 387-4000
Alabama |Stopwatch Urgent Care |3838 Highway 80 West |Ladonia |334.650.7025
Alabama |Urgent Team |300 Hughes Rd Suite G-2 |Madison |(256) 542-0230
Alabama |Madison Core Laboratories |"120 W. Dublin Dr, Ste. 105" |Madison |(256) 850-0075
Alabama |Respiratory Virus Evaluation Clinic |1303 Washington Street |Marion |334-247-1006
Alabama |Urgent Medcare |12287 US-231/431 |Meridianville |256-828-1154
Alabama |Main Street Family Care |1401 AL Hwy 14 |Millbrook |(334) 310-6059
Alabama |Main Street Family Care |6280 Grelot Road |Mobile |(251) 288-5606
Alabama |Keeler Memorial Building |251 N Bayou St |Mobile |(251) 410-6243
Alabama |USA Health |401 Civic Center Dr |Mobile |(251) 434-3711
Alabama |Dauphin island Parkway Health Center |2601 Dauphin Island Pkway |Mobile |(251) 445-3450
Alabama |Eight Mile Health center |4009 St. Stephens Rd |Mobile |(251) 456-2399
Alabama |Compass Urgent Care |6901 Airport Blvd |Mobile |(251) 634-2273
Alabama |Southwest Mobile Health Center |5580 Inn Road |Mobile |(251) 666-7413
Alabama |Women's Health Center / Newburn Complex |248 Cox St |Mobile |(251) 690-8935
Alabama |Ladd-Peebles Stadium |1621 Virginia St |Mobile |1-888-872-2650
Alabama |Infirmary Health |166 Mobile Infirmary Blvd |Mobile |251-341-CV19
Alabama |Franklin Medical Mall |1303 Martin Luther King Jr. Ave |Mobile |251-444-1122
Alabama |Greater Mobile Urgent Care |2350 Schillinger Road |Mobile |251-633-0123
Alabama |Diagnostic and Medical Clinic |1700 Springhill Ave |Mobile |N/A
Alabama |Diagnostic and Medical Clinic |831 C Hillcrest Road |Mobile |N/A
Alabama |The Grounds in Mobile |1035 Cody Rd N |Mobile |N/A
Alabama |Monroe County Health Department |416 Agricultural Drive |Monroeville |(251) 575-3109
Alabama |Main Street Family Care |1195 South Alabama Ave. |Monroeville |(251) 743-2560
Alabama |Monroe County Hospital |2016 South Alabama Avenues |Monroeville |251-575-3111
Alabama |Baptist Health Montgomery |2936 Marti Ln |Montgomery |(334) 747-0150
Alabama |American Family Care |4305 Atlanta Hwy |Montgomery |334-339-7061
Alabama |American Family Care |2570 Berryhill Rd |Montgomery |334-384-8582
