State |Location |Address |City |Eligibility
Alabama |Walmart |2473  Hackworth  Rd |Adamsville |
Alabama |Brookwood  Baptist |1000  1st  Street  N |Alabaster |
Alabama |Main  Street  Family  Care |2508  US  Hwy  280 |Alexander  City |
Alabama |Main  Street  Family  Care |508  E.  Three  Notch  Street |Andalusia |
Alabama |Northeast  Alabama  Regional  Medical  Center |230  E  10th  Street |Anniston |
Alabama |Southern  Immediate  Care |4100  McClellan  Boulevard |Anniston |
Alabama |Main  Street  Family  Care |1420  N.  Brindlee  Mountain  Pkwy.  Suite  A-1 |Arab |
Alabama |Waddell  Family  Medicine |902  West  Washington  St |Athens |Requires  health  insurance
Alabama |Southern  Immediate  Care |956  Gilberts  Ferry  Road |Attalla |
Alabama |Stopwatch  Urgent  Care |"2415  Moore's  Mill  Rd,  #230" |Auburn |
Alabama |Health  Plus  Fitness  Center |1171  Gatewood  Dr  #101 |Auburn |
Alabama |North  Baldwin  Infirmary |2115  Hand  Avenue |Bay  Minette |appt  only
Alabama |Bessemer  Quick  Care  Clinic |727  Memorial  Drive |Bessemer |
Alabama |Trust  Care |1337  Montclair  Road |Birmingham |
Alabama |Norwood  Clinic |"2022  Brookwood  Medical  Center  Dr.  ACC,  Suite  510" |Birmingham |
Alabama |Norwood  Clinic |"833  St.  Vincent's  Drive;  POB  III,  Suite  201" |Birmingham |
Alabama |Brookwood  Baptist |701  Princeton  Ave  SW |Birmingham |
Alabama |Brookwood  Baptist |2010  Brookwood  Medical  Center  Drive |Birmingham |
Alabama |Southview  Medical  Group |833  St.  Vincent's  Drive  -  POB  III |Birmingham |
Alabama |American  Family  Care |"3000  Cahaba  Village  Plaza,  Suite  110" |Birmingham |
Alabama |Southview  Medical  Group |7191  Cahaba  Valley  Rd |Birmingham |
Alabama |Cahaba  Medical  Care |1308  Tuscaloosa  Avenue |Birmingham |https://www.surveymonkey.com/r/CMCcurbsideWE
Alabama |UAB  Medicine |University  Blvd  &  22nd  Street  S |Birmingham |"appt  only,  call  to  schedule"
Alabama |Acton  Quick  Care  Clinic |2868  Acton  Road |Birmingham |healthcare  workers  or  first  responders  call  205.525.6133
Alabama |Sparks  &  Favor |4700  Highlands  Way |Birmingham |
Alabama |Church  of  the  Highlands  Grandview |4700  Highlands  Way |Birmingham |
Alabama |Walgreens |4501  Valleydale  Road |Birmingham |Appointment  only  –  complete  questionnaire:  Walgreens.com/Covid19Testing
Alabama |Trust  Care |"1645  W.  Government  St.,  Suite  F" |Brandon |
Alabama |Main  Street  Family  Care |2134  Douglas  Ave. |Brewton |
Alabama |Northeast  Alabama  Health  Services |29810  Alabama  Hwy  71 |Bryant |
Alabama |Main  Street  Family  Care |"1925  West  Main  Street,  Suite  102" |Centre |
Alabama |Cahaba  Medical  Care |195  Hospital  Drive |Centreville |go  to  “specialty  clinic”  check-in
Alabama |Citronelle  Health  Center |19240  N.  Mobile  St |Citronelle |
Alabama |Chilton  County  Health  Department |301  Health  Center  Drive |Clanton |call  for  appt;  symptomatic/10+  years  or  older
Alabama |Trust  Care |"601  Highway  80  Clinton,  MS" |Clinton |
Alabama |Cullman  Regional  Screening  Site |1958  Alabama  Highway  157 |Cullman |
Alabama |American  Family  Care |1841  Cherokee  Ave  SW |Cullman |
Alabama |Clears  Clinic |"28720  U.S.  Hwy.  98,Suite  1" |Daphne |
Alabama |Urgent  Team |1115  Beltline  Rd  SE  Suite  400 |Decatur |
Alabama |Walmart |1701  US-43 |Demopolis |
Alabama |Whitfield  Regional  Hospital  parking  lot |105  U.S.  Highway  80  East |Demopolis |email  covid19@bwwmh.com  for  more  info
Alabama |Capstone  Clinic |110  Legion  Rd  Ste  B |Double  Springs |
Alabama |Enterprise  Civic  Center |2401  Neil  Metcalf  Road |Enterprise |
Alabama |Main  Street  Family  Care |1026  South  Eufaula  Ave. |Eufaula |
Alabama |Evergreen  Family  Medical  Center |316  S.  Main  Street |Evergreen |
Alabama |Semmes  Health  Center |3810  Wulff  Road  East |Fire  Tower |
Alabama |Urgent  Team |202  Cox  Creek  Pkwy |Florence |
Alabama |Trust  Care |1710  Old  Fannin  Road |Flowood |
Alabama |Northeast  Alabama  Health  Services |3840  Gault  Avenue  North |Fort  Payne |
Alabama |DeKalb  Regional  Medical  Center |421  Medical  Center  Drive  SW |Fort  Payne |call  for  appt
Alabama |Norwood  Clinic |"339  Walker  Chapel  Plaza,  Suite  115" |Fultondale |
Alabama |Norwood  Clinic |339  Walker's  Chapel  Plaza |Fultondale |
Alabama |Norwood  Clinic |1604  Stouts  Road |Fultondale |
Alabama |Norwood  Clinic |"313  Fieldstown  Road,  Suite  103" |Gardendale |
Alabama |Norwood  Clinic |"527  Fieldstown  Road,  Suite  C" |Gardendale |
Alabama |Gilbertown  Medical  and  Dental  Center |140  Front  Street  Suite  4 |Gilbertown |
Alabama |Hale  County  Hospital |508  Greene  Street |Greensboro |
Alabama |Norwood  Clinic |6150  US  Highway  43 |Guin |
Alabama |Stopwatch  Urgent  Care |351  US  31 |Hartselle |
Alabama |Trust  Care |6176  US  Highway  98 |Hattiesburg |
Alabama |Southern  Immediate  Care |150  Tompkins  St |Heflin |
Alabama |Brookwood  Baptist |7131  Cahaba  Valley  Rd. |Hoover |
Alabama |Ross  Bridge  Medical  Center |3635  Market  Street |Hoover |appt  only
Alabama |Stopwatch  Urgent  Care |3029  Allison  Bonnett  Memorial  Drive |Hueytown |
Alabama |John  Hunt  Park |2151  Airport  Rd  SW |Huntsville |
Alabama |Urgent  Team |900  Bob  Wallace  Ave  Suite  104 |Huntsville |
Alabama |Mostellar  Medical  Center |12701  Padget  Switch  Rd |Irvington |
Alabama |Trust  Care |4880  I-55  Frontage  Road  North |Jackson |
Alabama |Walker  County  Health  Department |705  20th  Avenue  East |Jasper |call  for  appt;  symptomatic/10+  years  or  older
Alabama |Brookwood  Baptist |3400  Hwy  78  E |Jasper |
Alabama |Stopwatch  Urgent  Care |3838  Highway  80  West |Ladonia |
Alabama |Urgent  Team |300  Hughes  Rd  Suite  G-2 |Madison |
Alabama |Madison  Core  Laboratories |"120  W.  Dublin  Dr,  Ste.  105" |Madison |Call  our  main  number  (256)  850-0075  option  19  then  option  1  for  information  and  instructions  on  COVID-19  testing  at  MCL.
Alabama |Respiratory  Virus  Evaluation  Clinic |1303  Washington  Street |Marion |use  side-entrance  check-in  and  waiting  room  area
Alabama |Urgent  Medcare |12287  US-231/431 |Meridianville |
Alabama |Main  Street  Family  Care |1401  AL  Hwy  14 |Millbrook |
Alabama |Main  Street  Family  Care |6280  Grelot  Road |Mobile |
Alabama |Keeler  Memorial  Building |251  N  Bayou  St |Mobile |
Alabama |USA  Health |401  Civic  Center  Dr |Mobile |
Alabama |Dauphin  island  Parkway  Health  Center |2601  Dauphin  Island  Pkway |Mobile |
Alabama |Eight  Mile  Health  center |4009  St.  Stephens  Rd |Mobile |
Alabama |Compass  Urgent  Care |6901  Airport  Blvd |Mobile |
Alabama |Southwest  Mobile  Health  Center |5580  Inn  Road |Mobile |
Alabama |Women's  Health  Center  /  Newburn  Complex |248  Cox  St |Mobile |
Alabama |Ladd-Peebles  Stadium |1621  Virginia  St |Mobile |appt  only
