State|Location|Address|City|Link
Alabama|Walmart|2473 Hackworth Rd|Adamsville|https://corporate.walmart.com/covid19testing
Alabama|Brookwood Baptist|1000 1st Street N|Alabaster|https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
Alabama|Main Street Family Care|2508 US Hwy 280|Alexander City|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Main Street Family Care|508 E. Three Notch Street|Andalusia|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Northeast Alabama Regional Medical Center|230 E 10th Street|Anniston|https://rmccares.org/coronavirus-information/
Alabama|Southern Immediate Care|4100 McClellan Boulevard|Anniston|https://www.southernimmediatecare.com/location/
Alabama|Main Street Family Care|1420 N. Brindlee Mountain Pkwy. Suite A-1|Arab|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Waddell Family Medicine|902 West Washington St|Athens|https://www.athenslimestonehospital.com/clinics-physician-offices/waddell-center-family-medicine
Alabama|Southern Immediate Care|956 Gilberts Ferry Road|Attalla|https://www.southernimmediatecare.com/location/
Alabama|Stopwatch Urgent Care|"2415 Moore's Mill Rd, #230"|Auburn|https://www.stopwatchurgentcare.com/
Alabama|Health Plus Fitness Center|1171 Gatewood Dr #101|Auburn|https://www.eamc.org/patient-and-guests/covid-19-information/
Alabama|North Baldwin Infirmary|2115 Hand Avenue|Bay Minette|https://www.infirmaryhealth.org/media-center/news/archive
Alabama|Bessemer Quick Care Clinic|727 Memorial Drive|Bessemer|https://www.bessemerquickcare.com/covid-19-testing
Alabama|Trust Care|1337 Montclair Road|Birmingham|https://www.trustcarehealth.com/covid19|utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama|Norwood Clinic|"2022 Brookwood Medical Center Dr. ACC, Suite 510"|Birmingham|http://www.norwoodclinic.com/
Alabama|Norwood Clinic|"833 St. Vincent's Drive; POB III, Suite 201"|Birmingham|http://www.norwoodclinic.com/
Alabama|Brookwood Baptist|701 Princeton Ave SW|Birmingham|https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
Alabama|Brookwood Baptist|2010 Brookwood Medical Center Drive|Birmingham|https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
Alabama|Southview Medical Group|833 St. Vincent's Drive - POB III|Birmingham|http://www.southviewmedical.com/
Alabama|American Family Care|"3000 Cahaba Village Plaza, Suite 110"|Birmingham|https://www.afcurgentcare.com/cahaba-village/
Alabama|Southview Medical Group|7191 Cahaba Valley Rd|Birmingham|http://www.southviewmedical.com/
Alabama|Cahaba Medical Care|1308 Tuscaloosa Avenue|Birmingham|https://www.cahabamedicalcare.com/
Alabama|UAB Medicine|University Blvd & 22nd Street S|Birmingham|https://www.birminghamal.gov/2020/03/30/covid-19-testing-sites-and-sick-clinics-available-in-birmingham/
Alabama|Acton Quick Care Clinic|2868 Acton Road|Birmingham|https://www.actonquickcare.com/
Alabama|Sparks & Favor|4700 Highlands Way|Birmingham|https://sparksandfavorpc.com/for-families-in-greater-birmingham-our-response-to-thecovid-19-situation/
Alabama|Church of the Highlands Grandview|4700 Highlands Way|Birmingham|https://www.wvtm13.com/article/drive-thru-coronavirus-testing-in-birmingham-bessemer-and-tuscaloosa/31651212#
Alabama|Walgreens|4501 Valleydale Road|Birmingham|https://www.walgreens.com/findcare/covid19/testing|ext=goodrx
Alabama|Trust Care|"1645 W. Government St., Suite F"|Brandon|https://www.trustcarehealth.com/covid19|utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama|Main Street Family Care|2134 Douglas Ave.|Brewton|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Northeast Alabama Health Services|29810 Alabama Hwy 71|Bryant|https://neahsi.com/
Alabama|Main Street Family Care|"1925 West Main Street, Suite 102"|Centre|https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama|Cahaba Medical Care|195 Hospital Drive|Centreville|
Alabama|Citronelle Health Center|19240 N. Mobile St|Citronelle|http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama|Chilton County Health Department|301 Health Center Drive|Clanton|https://www.alabamapublichealth.gov/news/2020/04/24.html
Alabama|Trust Care|"601 Highway 80 Clinton, MS"|Clinton|https://www.trustcarehealth.com/covid19|utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama|Cullman Regional Screening Site|1958 Alabama Highway 157|Cullman|https://cullmanregional.com/cullman-regional-now-offering-covid-19-antibody-testing/
Alabama|American Family Care|1841 Cherokee Ave SW|Cullman|https://www.afcurgentcare.com/cullman/|utm_source=GMB&utm_medium=organic&utm_campaign=cullman
Alabama|Clears Clinic|"28720 U.S. Hwy. 98,Suite 1"|Daphne|https://clearsclinic.com/
